,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19
301,5.4089632034,1.7133722305,-4.243516922,-3.2269701958,0.8769370914,8.0097389221,3.3588955402,-0.3838450909,2.552636385,-0.8345959187,-8.3606262207,7.4052801132,2.4885127544,-3.9606189728,3.2117886543,2.19901371,7.5552163124,3.8803710938,-9.059384346,1.1240013838
302,9.5817089081,6.5235815048,-2.4867203236,-0.1509257257,2.5743250847,6.6622014046,2.6393916607,1.2183007002,2.9298336506,-0.7846172452,-7.5515379906,5.420279026,2.7610378265,-7.5175900459,4.242480278,3.8916869164,8.8310861588,2.2678523064,-5.6202874184,-0.8751446605
303,10.8858690262,9.2431745529,0.6298727989,3.4560239315,4.3886442184,3.7832427025,1.8029565811,3.4154751301,2.9958431721,0.2130697221,-2.6140244007,1.1598351002,2.4470210075,-7.3535089493,4.1557250023,4.1312069893,6.2491703033,-0.5281230807,0.2885091901,-2.3547012806
304,8.6472024918,7.7192969322,3.6974303722,5.1920747757,4.9129486084,0.3262289166,0.1810079515,5.5400395393,2.6629664898,2.0981135368,3.8068175316,-3.3222124577,1.2258446217,-3.4504594803,2.8430783749,3.3372068405,1.171151042,-2.9808487892,6.1067781448,-1.8294539452
305,3.3032591343,2.3121728897,4.7837586403,3.8982877731,3.022247076,-3.3203265667,-2.3886489868,6.3019781113,1.7426049709,3.4117033482,7.5316414833,-5.7636222839,-0.7978191972,1.6369897127,0.1923238635,1.7114862204,-3.5815355778,-4.1756215096,9.0630626678,-0.0151346736
306,-3.8361439705000002,-4.453804493,3.2051877975,0.9495475292,-0.5913036466,-6.8471217155,-4.8159141541,4.5668702126,-0.6988048553,2.8477933407,7.3685035706,-5.8437767029,-3.3118395805,5.5655002594,-2.696064949,-1.0731732845,-6.7499933243,-3.8069109917,7.7645606995,1.1013695002
307,-10.6822757721,-9.4563846588,0.0291860159,-2.2717177868,-4.2727499008,-8.6190061569,-5.3590779305,0.2319295853,-4.1350727081,0.5318014622,3.7238340378,-4.3689351082,-5.0375175476,7.045999527,-4.6914386749,-3.9662768841,-7.9560818672,-2.3905351162,2.5507502556,1.7048852444
308,-13.7554912567,-10.7275390625,-3.3872790337,-3.6682910919,-5.5042991638,-6.4529504776,-3.4212267399,-4.5613059998,-6.2219171524,-2.6781480312,-1.3843610287,-1.7002638578,-4.3368735313,5.4683718681,-5.4467763901,-5.3722801208,-6.2624659538,-0.6516551971,-3.6315143108,1.9462915659
309,-11.0632448196,-7.4317774773,-5.4043416977,-2.8856065273,-3.6220843792,-1.2957197428,-0.2282511741,-7.7816281319,-5.4505486488,-5.158220768,-5.2987265587,1.5596642494,-1.3258954287,1.4964836836,-4.3623342514,-4.4566335678,-2.0982069969,1.4417901039,-6.8028011322,1.5681512356
310,-3.3769061565,-0.5639567971,-4.6386313438,-1.7228957415,-0.3763011396,4.2283353806,2.4602229595,-8.2399225235,-2.5263259411,-5.420372963,-7.3987727165,4.4291930199,2.2970850468,-2.8610887527,-1.7813612223,-1.5522139072,2.5318903923,3.3975584507,-6.4906702042,1.1428612471
