,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19
171,-15.5814418793,-8.2187099457,-7.1348557472,-0.7668542266,-1.7242106199,-10.7716608047,-1.5181729794,0.6035358906,6.6581687927,-2.3528652191,-19.4300346375,-10.6844539642,-11.349524498,-16.1238479614,0.2317097783,-15.4836940765,-3.7280468941,-2.1391608715,-23.3850002289,-0.2321145684
172,-12.3346719742,-5.2469758987,-4.3030357361,-0.3681952655,1.522559762,-11.1569032669,4.3677964211,14.9772987366,15.1344623566,0.4847048819,-9.8363456726,-8.2972917557,-12.9182853699,-11.5967693329,9.9336881638,-5.6542596817,-0.9010182619,4.3879208565,-14.0213060379,7.3184475899
173,-0.9585171938,2.4252922535,3.1047375202,2.4454169273,4.1061763763,-10.2014627457,8.5067577362,22.7597732544,17.8694934845,3.3002336025,-1.0715982914,-2.9613950253,-9.7548885345,-6.1832494736,11.4238681793,3.9854288101,-0.356695503,5.089407444,1.9001357555,8.985915184
174,16.7348480225,10.685965538,8.1799726486,9.9154806137,3.2475264072,-1.4280914068,11.3491191864,19.2839660645,16.3457717896,3.2983169556,6.9293718338,-0.4889429212,-0.5148174167,-2.1286194324,2.6658291817,11.4459095001,-0.2215731144,4.9293689728,13.0280866623,6.2662177086
175,30.6927032471,10.4339284897,8.2556791306,12.2825183868,3.1488199234,8.5422153473,8.2202215195,10.9255447388,9.9624376297,-0.9221011996,16.3841056824,1.2043992281,7.8886446953,4.7760386467,-5.7970485687,15.0520477295,3.1660695076,7.9260191917,14.8584680557,4.3102974892
176,27.1680221558,3.9681789875,5.2734036446,6.1838026047,3.7985572815,14.0199422836,3.0539467335,0.5872445703,-1.0313490629,-2.8655636311,22.6534004211,7.0501194,11.6711130142,12.7473011017,-5.8593387604,13.8225297928,7.9950175285,11.9154834747,14.7961778641,0.8287398815
177,6.8114991188,0.645701766,2.4300837517,-1.5775885582,2.6543295383,15.0424642563,-0.5435668826,-12.5387926102,-12.7850799561,1.040527463,22.9926433563,11.4114103317,12.8967981339,16.9360942841,0.5316622853,7.9451851845,7.7161478996,7.5254435539,14.7961778641,-3.1578495502
178,-14.5502958298,-1.3504679203,0.3380827308,-7.9532566071,0.2412929237,7.9135608673,-5.6830091476,-22.5234737396,-20.1727275848,3.8407232761,9.9806461334,10.5163440704,10.2853899002,14.8182191849,3.6346855164,0.3725820482,4.8996610641,-3.8986268044,5.5628147125,-3.2709307671
179,-22.7371788025,-4.8531084061,-4.763985157,-9.6456403732,-3.7615878582,1.0098613501,-11.3428163528,-21.9705276489,-18.4123039246,1.5378928185,-11.8488063812,3.6385188103,5.0338249207,3.5695202351,-1.9474979639,-4.7323608398,1.2542316914,-14.6135444641,-10.5042905807,-4.9681062698
180,-21.7980308533,-7.9484648705,-9.4233112335,-8.5062046051,-7.1032314301,-2.1957015991,-13.9685983658,-11.1434869766,-9.2460231781,-2.7591905594,-24.2235240936,-4.9872722626,-5.7108001709,-12.1286344528,-6.7802791595,-11.899597168,-6.6144909859,-18.1803913116,-21.9379444122,-8.0126724243
181,-16.167930603,-8.7812404633,-8.389289856,-6.3902454376,-6.1334171295,-10.7429113388,-8.6183271408,3.5283126831,-0.0730343163,-5.1540193558,-25.81432724,-11.4022312164,-18.6499652863,-20.399848938,-3.628382206,-17.977230072,-13.8794755936,-10.8176593781,-23.8344497681,-5.6188020706
182,-3.9858334064,-3.9791252613,-0.4266524613,0.6821177006,-1.1607215405,-15.9532680511,3.4746470451,14.289229393,11.2887458801,-2.5234451294,-17.9475212097,-15.1588258743,-18.1966838837,-16.6710453033,3.5254375935,-15.0007038116,-11.2527341843,-1.4875068665,-13.2651958466,0.2230849415
183,9.253285408,3.9748873711,9.3194084167,9.2734098434,4.042927742,-12.878036499,13.0204200745,18.9725131989,22.5384025574,1.1794830561,-0.1410746723,-9.1406087875,-7.5344729424,-9.3073558807,7.9480605125,-4.8588581085,-0.3634037077,6.8028740883,2.1272563934,6.6351690292
184,19.3769226074,7.3194060326,8.985915184,11.7401123047,6.9533295631,-4.8138175011,14.3783521652,16.5681018829,22.4799461365,-1.0505154133,14.8450517654,2.2192544937,5.0376582146,-0.3011132479,6.1042628288,12.1598539352,9.7008180618,16.0170707703,13.3558301926,10.4875946045
185,21.1296806335,5.7132701874,1.6270160675,8.5259237289,6.3754658699,6.1425952911,6.2815508842,8.357260704,12.5268878937,-3.0543515682,23.4420928955,9.6442775726,14.9399251938,12.6725521088,3.3778572083,24.4473648071,14.1138572693,17.6634559631,19.2906742096,8.971540451
