,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19
46,42.4138755798,38.6118583679,20.8433876038,34.4163703918,25.654504776,55.0935401917,47.3887825012,34.6846466064,34.0163040161,7.2995872498,21.942855835,5.741692543,35.719165802,8.1533699036,20.3228340149,19.6375484467,22.8606491089,14.9036197662,42.2312583923,8.9836196899
47,49.6809120178,45.8054733276,43.9199981689,53.1242828369,43.3881492615,68.3492965698,51.8327865601,56.2447814941,43.862575531,36.6256599426,28.603679657,19.1923007965,35.0498809814,13.7693214417,25.8681869507,23.2748336792,24.4684352875,18.0391769409,60.769733429,13.8606300354
48,51.4496650696,50.0009651184,65.7427597046,65.4161224365,58.8550796509,71.372833252,53.6184806824,70.1858215332,52.7675209045,66.0769348145,37.8427963257,39.84217453,33.9438247681,27.3630123138,34.1800956726,31.4022426605,30.4627990723,26.8057479858,73.9868927002,25.1734867096
49,48.2275047302,51.6812324524,79.142539978,68.3850631714,65.9470291138,64.8673248291,53.8387527466,71.7521896362,56.7286224365,86.1601257324,46.3043746948,60.4854545593,33.0608596802,43.952003479,42.9720802307,40.3034210205,39.1418266296,38.9394416809,76.6028442383,37.891746521
50,43.6150093079,51.7546539307,81.4205474854,63.9683609009,64.1961593628,54.3150634766,54.6407623291,63.683139801,54.2190475464,91.9568099976,51.952331543,74.0038375854,33.8892250061,56.543182373,50.7897949219,47.9234580994,47.6617698669,51.1249084473,66.9843673706,49.1123542786
51,43.7129058838,52.2366142273,74.0612564087,57.2887115479,58.9990997314,45.8930168152,56.9065322876,52.6950378418,48.2086791992,84.1842803955,52.4860649109,75.8864898682,36.2707824707,61.3034667969,54.8968009949,51.9062080383,53.1939430237,59.541305542,47.328540802,57.0213737488
52,51.2661056519,54.0072479248,61.0963745117,53.6937866211,54.4468460083,42.4261131287,59.3445663452,46.0078582764,44.0969657898,68.1271438599,48.2331542969,65.7757110596,38.9366188049,57.8845710754,53.3059616089,50.9884147644,54.1785697937,61.253578186,23.828332901,58.9040260315
53,63.3527336121,56.0894622803,47.3586616516,53.061214447,53.2024154663,44.2880554199,60.3009567261,46.1669425964,45.9353752136,51.1249084473,41.636341095,47.6956558228,41.1308479309,49.119884491,46.2243652344,46.3166122437,50.6994285583,56.2193641663,5.8697128296,54.7452468872
54,73.7383880615,57.3640174866,37.090675354,52.4521789551,54.6219329834,49.4079284668,57.660533905,49.4540519714,52.7129249573,37.9661102295,35.7775268555,28.5584964752,42.6510887146,40.6074714661,38.5553817749,39.9814872742,44.5610389709,47.6928329468,2.5167090893,47.4838600159
55,74.9093933105,56.495174408,32.8236465454,50.5450515747,54.7339515686,55.526550293,51.7668914795,52.0615272522,59.2052497864,30.2980670929,33.838394165,17.7426586151,45.4035263062,36.6755523682,36.4355125427,34.8041954041,39.5108261108,39.8873558044,16.1913528442,41.8330764771
