,IIR(g),IIR(g).1,IIR(g).2,IIR(g).3,IIR(g).4,IIR(g).5,IIR(g).6,IIR(g).7,IIR(g).8,IIR(g).9,IIR(g).10,IIR(g).11,IIR(g).12,IIR(g).13,IIR(g).14,IIR(g).15,IIR(g).16,IIR(g).17,IIR(g).18,IIR(g).19
10,-2.5429186821,-1.9801232815,1.407848835,0.6714549065,-0.0397392437,4.5382232666,4.4486236572,2.0117106438,2.14797616,1.3733158112,2.4158406258,3.1345012188,-0.6594674587,0.2122586817,2.1181097031,-0.2945371568,5.2848834991,2.9235696793,3.5012981892,0.1394592822
11,-1.3090621233,-3.6041100025,3.4676985741,2.0742433071,2.1666426659,7.22433424,2.5390396118,4.3972907066,2.4391736984,0.7955872416,3.3463661671,1.2846498489,-2.8266496658,4.0594267845,-1.6599925756,-3.226113081,4.174226284,1.3985155821,1.5245145559,3.0607686043
12,0.9822523594,-2.4934523106,4.3982243538,2.5259730816,1.9566442966,7.0796689987,0.3438575864,4.3758244514,3.6478304863,0.5258560777,3.6823635101,1.1558508873,-1.1746631861,6.2714085579,-3.4202446938,-3.3605117798,-0.952531755,0.6341218948,0.5846556425,6.5607395172
13,2.5987722874,0.1525258422,3.6860966682,1.4582483768,-0.6874672174,6.0614104271,-1.1391968727,2.7854375839,4.1042265892,1.6458468437,3.6282305717,1.7279795408,2.0798432827,7.1972680092,-1.428527832,-0.4886688888,-6.1362223625,0.213192001,-0.2394709289,6.9340701103
14,3.239033699,1.2762498856,3.3267662525,2.5567727089,0.4166570008,3.3314330578,-1.9063905478,0.2178586423,2.2487752438,3.2642335892,0.9206528664,0.2495917082,4.7808876038,5.259683609,3.2035672665,2.7219712734,-5.8067584038,2.1815757751,-1.2922623158,2.8619701862
15,3.6328971386,1.4143821001,3.9866275787,7.5108652115,2.7247712612,0.0815930888,-0.3589366078,-0.9870647788,0.7853206396,5.8952784538,-3.0553143024,-1.1382635832,4.6922216415,2.1013097763,7.3074002266,4.1835594177,-2.9731817245,0.9570525289,-0.6445342898,1.035451889
16,1.7522460222,2.1153097153,3.2558336258,8.5001907349,4.5307564735,-1.9017238617,1.2006505728,0.5939888954,1.7699792385,5.9914112091,-2.5839848518,0.2150586545,2.6650385857,1.0737183094,7.6620640755,5.1943511963,0.5977221727,0.1161261424,1.3481160402,0.8973197341
17,0.1534591615,3.0486352444,1.0186520815,6.4356741905,6.3675413132,-1.5358603001,3.0654351711,2.9758360386,4.4943566322,2.7845041752,-0.585734725,2.5437061787,1.4685150385,2.3514411449,4.3590245247,5.723546505,4.3758244514,3.5059649944,3.6748967171,2.4522402287
18,0.7134545445,4.6203556061,-2.1705217361,6.6988720894,4.4243574142,0.1982588023,5.997944355,4.22275877,5.4892821312,0.6602550149,1.2333168983,2.9777026176,1.9641109705,1.2361168861,1.275316596,5.4650154114,7.3176670074,6.1090102196,6.2536754608,5.2316842079
19,0.9029196501,6.2415423393,-3.120647192,4.767821312,2.4363737106,3.9679610729,5.5294151306,3.7691626549,4.0006275177,0.9150528908,3.2315671444,2.413040638,4.9031534195,-2.2451877594,0.8954530358,3.9427611828,10.1307106018,7.9261951447,7.0908684731,4.2479586601
20,1.3033163548,4.570889473,0.9850523472,2.6566386223,3.9847609997,8.7241888046,5.8738121986,2.6781051159,2.7975707054,3.8176956177,5.6031475067,1.2855831385,7.2346010208,-0.3169369698,1.631847024,2.0163772106,9.4997825623,8.1903266907,6.8696703911,5.5658144951
21,3.7448961735,0.7582541704,5.400616169,3.4182322025,4.5158233643,12.1998929977,7.6051311493,2.1573092937,3.8746285439,8.8931207657,8.3713912964,-0.5456017256,7.1487350464,3.8494286537,1.990244031,0.5351893306,5.9475445747,7.7395300865,6.9098033905,7.3139333725
