15m/min,20m/min,30m/min,40m/min,50m/min,60m/min,70m/min,80m/min,90m/min,100m/min,110m/min,120m/min,°
-0.818815981,-1.357495891,-0.174579326,0.037896188,5.293260111,-9.686944658,0.649444303,-14.40771474,2.453443141,10.43080908,-5.088075594,1.029448588,-1.97108704
-2.36471155,1.038982746,0.681451833,1.992398515,3.06703429,-8.488364834,1.726804122,-11.87367183,5.954522048,10.05012379,0.274207097,-2.643245157,-1.546817022
-2.446432902,1.131600278,1.630100523,1.621247377,0.442416879,-2.620771785,-0.487163496,-6.920676905,6.583776456,6.978762989,3.02957867,-5.797689331,-0.614512602
-1.618323205,-0.138485729,1.864368398,-0.169131236,-1.825350629,2.900867541,-1.924097262,2.932194059,2.894057429,3.696969709,4.668091771,-9.061776318,0.253095748
-0.879425984,0.266034962,1.517052653,-2.139296822,-4.354626463,5.401540902,-2.586040211,10.9756181,-1.046954755,-0.643115075,4.52780345,-8.544207757,0.799266781
-0.32235877,1.207192528,0.839446446,-1.875745463,-5.708476855,6.418290718,-2.498189758,12.31993433,-2.47775942,-4.793878728,5.594267089,-5.034956715,1.102316794
0.56159385,0.875540043,-1.283946675,0.005207648,-4.480613547,6.466642518,-1.075557228,9.692592875,-2.690915945,-9.28923408,4.751856156,1.05737005,1.171779943
1.959709975,-0.800428677,-3.391676536,0.35116137,-1.12527105,5.423333262,-0.81268688,3.171910024,-3.410744851,-9.545294315,-1.266921393,7.314501542,0.624246886
2.926064958,-2.661632461,-2.816222018,-0.073789659,2.860687877,2.066628743,-0.186156517,-3.283395745,-4.533051414,-4.1755205,-5.183417171,9.446747808,-0.309419556
1.922254355,-2.317040762,-0.841970364,-0.17662236,4.736192897,-3.366479119,0.171374396,-6.294827553,-3.229595855,-0.707811145,-5.867833491,8.547131929,-1.341151621
-0.581824062,0.434925755,-0.427915516,0.898694426,4.329629173,-7.237347142,0.449226992,-8.779837655,0.271483052,1.775836933,-6.985372975,5.696418779,-1.878469508
-2.859806739,1.969925144,-0.787489463,2.403048307,4.373894905,-9.019553619,1.324326466,-9.680815557,3.138540472,5.132541452,-5.301232119,-0.060850445,-1.742267255
-3.944657682,0.858514761,0.643996213,0.720269475,3.34761093,-7.119532194,2.158565264,-6.377910927,4.450168166,7.31926862,-2.598979425,-6.098696309,-0.999964978
-3.160132706,-1.260792292,2.723804613,-2.175390419,-0.664907436,-1.686424331,2.365592688,1.102316794,3.249545308,7.301562328,2.847067651,-10.30257884,0.143452934
-0.722793393,-1.915925127,2.334947181,-2.91973573,-5.368652234,2.841619561,1.738381314,8.562795188,1.622609399,4.55981098,7.558303574,-8.845895747,0.934107011
1.645763782,-0.569565859,-0.32235877,-2.219656151,-8.289509545,5.205409658,0.912995662,9.63062085,1.519776698,-0.688061819,4.61905896,-4.704666252,1.256225339
2.426883702,0.493492724,-1.956785803,-0.840608342,-7.191038376,5.526165963,-1.456242524,5.489391355,-1.160002625,-7.679323452,1.680495357,-1.358857914,1.2296659
2.400324262,-0.499421699,-1.916606139,-0.033609994,-2.600341447,3.459977789,-4.73054468,1.965158065,-5.545034152,-12.29317476,1.622609399,3.873351626,0.756363072
1.859601319,-1.851229057,-1.142977343,0.064455628,0.955218361,1.121385109,-5.331877626,-1.520938594,-6.110273501,-8.697435292,-1.704811636,6.16563554,-0.319634725
0.460804183,-1.610832081,-0.481034395,0.468295307,2.762622255,-0.901218344,-3.615729242,-6.010845856,-3.655908906,-2.338152111,-3.598022949,5.195194489,-1.32480735
-1.102797678,0.494854746,-0.501464732,1.436012313,4.451530189,-2.556075715,-0.562074735,-9.176867221,0.104635292,2.664556633,-2.839376401,4.41475558,-1.762697593
-2.172666374,1.952899862,0.150263047,2.247096728,5.340930899,-3.88949577,3.914212302,-7.41372906,2.245053694,5.810828671,-3.267732486,0.318472829,-1.747034334
-2.831885277,1.098911737,2.161289309,1.107083872,3.35305902,-4.358031519,5.864628561,-0.380925739,1.17041792,6.024666208,-3.04367978,-3.899710939,-1.407890725
-2.590126278,-0.212034945,3.038431816,-1.416743871,-0.720069348,-2.384460877,5.177488196,5.793122378,1.555189284,4.704185368,-1.692553433,-5.782707083,-0.8017907
-1.337746564,-0.033609994,1.315473319,-2.627581898,-3.596660926,0.211554061,3.861093423,6.414885662,2.624376968,3.015277433,-0.543687431,-7.556741425,0.17886552
0.197933835,0.53980149,-1.978578164,-2.487974589,-4.117634543,2.172185489,0.336860133,3.808655556,1.578343667,-0.659459346,-0.853547556,-5.472846958,1.099592749
1.167012864,-0.239275396,-4.39072006,-1.591763766,-2.772637297,3.037069794,-3.639564636,1.217407697,-1.416743871,-4.729182658,-0.275368993,-1.507318369,1.325688488
1.453718606,-2.449837958,-4.028422067,-0.630175861,-1.226741728,2.494303817,-5.543672129,-1.216526559,-4.650185351,-6.577447228,4.187297818,3.259760477,0.885755212
1.560637374,-3.408701817,-2.075281763,-0.08536685,-1.357495891,1.988312448,-5.581127749,-3.940571614,-3.967812065,-4.881729181,7.49701256,9.405206121,0.206105971
1.476191977,-1.806963325,-0.844013398,1.310025229,-0.110564267,-0.579781028,-4.798645807,-5.600877075,-1.392227465,-1.949294679,4.889420431,9.578863993,-0.526662149
-0.161640112,0.706649249,0.404280248,2.23211448,2.382617969,-3.939890603,-1.860082204,-5.510302577,0.150944058,-0.526662149,0.754320038,4.1559713,-1.253982179
-2.479121442,2.221899311,3.000295186,1.459166696,2.43165078,-3.777809922,1.205149494,-3.617091264,0.643996213,0.723674531,-2.710665272,-3.774404866,-1.659864892
-3.058662028,1.852791206,4.079017027,0.432882721,1.081205444,-2.422597508,3.163737889,1.668237154,0.607902616,2.493622805,-5.160943799,-9.799311516,-1.36226297
-1.900261868,-0.194328653,2.014871887,-0.881469018,-0.597487321,-0.066298535,5.535019109,5.975633397,1.961071997,5.171359095,-4.971622668,-9.130558455,-0.570927881
-0.288308207,-0.86103868,-0.212715957,-1.442622299,-1.926821308,2.093188182,6.696824325,6.668902864,2.912444733,5.595629112,-5.087394583,-5.321662457,0.178184509
1.268483542,0.082842932,-1.642158599,-0.833117218,-0.940035986,1.907272107,3.133773393,4.549595811,1.899099972,0.542525535,-4.588894338,0.535034411,0.494854746
1.796267271,-0.036334039,-2.670485608,-1.123228016,0.22176923,1.177228033,-1.886641643,0.50234587,-0.647882154,-4.370970733,0.465571262,7.552855484,0.851023637
1.219450731,-1.171579816,-2.793748646,-1.629900397,-0.353004277,-0.916881603,-5.163667844,-3.230276866,-4.856531764,-5.624031458,3.696969709,8.985703183,1.077119377
0.182951588,-1.555670169,-2.605108526,-0.773869238,-0.457880012,-3.12472012,-6.499811944,-5.651271909,-4.020930944,-4.69785614,3.856326344,7.92809269,0.731846666
-0.622684737,-0.982939696,-2.101841202,0.044706301,0.143452934,-3.233000911,-5.918228324,-9.522820943,-0.647201143,-0.771145193,5.58950001,4.864904026,-0.241999441
-1.131400151,0.24900968,-0.272644948,0.492130701,-0.314867646,-3.245259114,-4.1755205,-9.123067332,0.079437875,3.053414064,6.224202508,-2.242810534,-1.329574429
-1.397675556,0.676003743,2.415987521,0.50779396,-1.072152172,-1.651011746,-0.939354975,-2.636435044,3.100403841,5.498925512,3.929194549,-8.798224959,-1.789257032
-1.312549148,0.215640128,4.33371524,0.148901024,-1.928864341,1.595368949,3.421160147,4.432461873,6.715211629,6.265063184,-1.9445276,-11.08506078,-1.749758379
-0.460604057,-0.073108648,4.358231646,0.389979012,-2.556075715,4.743684021,5.111430103,9.952058166,5.988572611,3.677220382,-9.048837104,-9.876946801,-1.332298474
0.532991377,-0.047911231,2.181038635,-0.30056641,-1.005413068,6.199686103,3.685392517,11.02260787,2.654341464,-0.953656212,-9.084930701,-6.327516094,-0.488525518
0.334136088,0.036534166,-1.127314084,-1.777679841,1.540888047,4.138265007,1.647806816,6.476176676,-4.174158478,-4.617496811,-6.678917906,0.241518556,0.582705199
0.055602481,-0.337341018,-3.735587224,-1.342513643,2.88384226,0.490768679,-0.500783721,1.35905804,-8.482235732,-5.809266522,-4.896711429,6.078466098,1.132281289
0.591558346,-1.727285007,-4.772767379,-0.061531456,2.982588893,-3.231638889,-1.867573328,-4.868108956,-8.352162581,-4.108100385,3.136497438,9.976574572,0.923891843
